"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","HPPCenter","Study2"
"SS2M2.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",5697.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M2.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",4590,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M24.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",7537.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M24.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",4530,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M25.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",5707.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M25.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",5630,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M27.A","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",8417.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M27.A","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7303.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M28.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",8960,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M28.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",10061.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2M4.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",9695,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M4.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",8819,0.340425531914894,"Saffran & Wilson (2003)"
"SS2M5.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",9432.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M5.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",9117,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M7.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",7393,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M7.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",9765,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M7.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",4634,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M7.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",4178,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M9.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",5957.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2M9.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",6416,1.34042553191489,"Saffran & Wilson (2003)"
"G3M2.P","Wisconsin","SaffranHauser1",1,2,2,"Familiar",7633,0.340425531914894,"Saffran et al. (2008)"
"G3M2.P","Wisconsin","SaffranHauser1",1,2,2,"Novel",5457,0.340425531914894,"Saffran et al. (2008)"
"G3M9.P","Wisconsin","SaffranHauser1",2,3,3,"Familiar",5805,1.34042553191489,"Saffran et al. (2008)"
"G3M9.P","Wisconsin","SaffranHauser1",2,3,3,"Novel",4732,1.34042553191489,"Saffran et al. (2008)"
"G3M11.P","Wisconsin","SaffranHauser1",1,2,2,"Familiar",4104,0.340425531914894,"Saffran et al. (2008)"
"G3M11.P","Wisconsin","SaffranHauser1",1,2,2,"Novel",5885,0.340425531914894,"Saffran et al. (2008)"
"G3F4.P","Wisconsin","SaffranHauser1",1,2,2,"Familiar",6389,0.340425531914894,"Saffran et al. (2008)"
"G3F4.P","Wisconsin","SaffranHauser1",1,2,2,"Novel",8239,0.340425531914894,"Saffran et al. (2008)"
"G3M19.P","Wisconsin","SaffranHauser1",1,2,2,"Familiar",3197,0.340425531914894,"Saffran et al. (2008)"
"G3M19.P","Wisconsin","SaffranHauser1",1,2,2,"Novel",5374,0.340425531914894,"Saffran et al. (2008)"
"G3F18.P","Wisconsin","SaffranHauser1",1,2,2,"Familiar",5848,0.340425531914894,"Saffran et al. (2008)"
"G3F18.P","Wisconsin","SaffranHauser1",1,2,2,"Novel",5813,0.340425531914894,"Saffran et al. (2008)"
"G3F20.P","Wisconsin","SaffranHauser1",0,1,1,"Familiar",4313,-0.659574468085106,"Saffran et al. (2008)"
"G3F20.P","Wisconsin","SaffranHauser1",0,1,1,"Novel",5297,-0.659574468085106,"Saffran et al. (2008)"
"G3M31.P","Wisconsin","SaffranHauser1",2,3,3,"Familiar",3652,1.34042553191489,"Saffran et al. (2008)"
"G3M31.P","Wisconsin","SaffranHauser1",2,3,3,"Novel",5512,1.34042553191489,"Saffran et al. (2008)"
"G3M27.P","Wisconsin","SaffranHauser1",0,1,1,"Familiar",3425,-0.659574468085106,"Saffran et al. (2008)"
"G3M27.P","Wisconsin","SaffranHauser1",0,1,1,"Novel",4889,-0.659574468085106,"Saffran et al. (2008)"
