"Model","Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid",".fittedExp"
"Raw","SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7354,8.90299966186122,0.5,0,6082.37593837111,1271.62406162889,0.970612207410307,Inf
"Raw","SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5420,8.59785109443369,-0.5,-1,5698.98291123794,-278.982911237938,-0.212943610833808,Inf
"Raw","SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",5339,8.58279364850019,0.5,0,5780.97779718481,-441.977797184814,-0.33735524381505,Inf
"Raw","SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",10073.5,9.21766349235596,-0.5,-1,9766.69556837436,306.804431625636,0.23417937392752,Inf
"Raw","SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",9777,9.18778796750567,0.5,0,9046.02044748864,730.979552511359,0.557946093066229,Inf
"Raw","SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9707,9.18060255371223,-0.5,-1,8793.40261676702,913.597383232984,0.697335635256983,Inf
"Raw","SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7675,8.9457235724554,0.5,0,8072.72749588129,-397.727495881294,-0.303579630469259,Inf
"Raw","SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",6853.5,8.83251474967144,-0.5,-1,8256.1194061334,-1402.6194061334,-1.07059905440904,Inf
"Raw","SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",10391,9.24869532585265,0.5,0,8338.11429208028,2052.88570791972,1.56693789355689,Inf
"Raw","SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7505,8.92332474406756,-0.5,-1,8456.16131183851,-951.16131183851,-0.726007637276282,Inf
